jaar,overledenen_x1000,voorlopig
2014,139.223,False
2015,147.134,False
2016,148.997,False
2017,150.214,False
2018,153.363,False
2019,151.885,False
2020,168.678,False
2021,170.972,False
2022,170.112,False
2023,169.521,False
2024,172.051,True
